"Date","Comp","Negative","Neutral","Positive"
"2018-06-03","0.92","0.017","0.792","0.191"
"2018-06-04","0.872","0.062","0.708","0.229"
"2018-06-05","0.612","0.032","0.872","0.096"
"2018-06-06","0.511","0","0.924","0.076"
"2018-06-07","0.75","0.079","0.768","0.153"
"2018-06-08","-0.202","0.058","0.893","0.049"
"2018-06-09","0.802","0.03","0.827","0.142"
"2018-06-10","0.874","0.026","0.888","0.086"
"2018-06-11","0.935","0","0.811","0.189"
"2018-06-12","0.612","0.075","0.814","0.111"
"2018-06-13","0.891","0.04","0.802","0.158"
"2018-06-14","0.925","0.026","0.851","0.123"
"2018-06-15","0.765","0","0.885","0.115"
"2018-06-16","0.97","0.038","0.686","0.276"
"2018-06-17","0.875","0","0.857","0.143"
"2018-06-18","0.967","0.033","0.62","0.347"
"2018-06-19","-0.599","0.075","0.925","0"
"2018-06-20","0.869","0","0.888","0.112"
"2018-06-21","0.681","0.034","0.868","0.098"
"2018-06-22","0.599","0.14","0.666","0.194"
"2018-06-23","0.66","0.063","0.836","0.101"
"2018-06-24","0.945","0","0.866","0.134"
"2018-06-25","0.918","0.091","0.69","0.22"
"2018-06-26","0.318","0.107","0.741","0.152"
"2018-06-27","0.961","0.036","0.776","0.189"
"2018-06-28","-0.459","0.062","0.915","0.023"
"2018-06-29","-0.872","0.143","0.807","0.049"
"2018-06-30","0.975","0","0.634","0.366"
"2018-07-01","0.983","0.015","0.657","0.328"
"2018-07-02","0.751","0.021","0.901","0.078"
"2018-07-03","0.751","0.11","0.694","0.196"
"2018-07-04","0.954","0.071","0.616","0.314"
"2018-07-05","0.975","0","0.581","0.419"
"2018-07-06","0.952","0","0.817","0.183"
"2018-07-07","0.984","0.017","0.679","0.304"
"2018-07-08","0.952","0.014","0.837","0.149"
"2018-07-09","-0.202","0.098","0.812","0.089"
"2018-07-10","0.848","0","0.853","0.147"
"2018-07-11","0.935","0.087","0.718","0.195"
"2018-07-12","0.883","0.027","0.827","0.147"
"2018-07-13","0.859","0.036","0.835","0.129"
"2018-07-14","0.96","0.119","0.581","0.301"
"2018-07-15","-0.202","0.093","0.85","0.057"
"2018-07-16","0.848","0","0.878","0.122"
"2018-07-17","0.822","0.077","0.71","0.213"
"2018-07-18","0.954","0.046","0.745","0.209"
"2018-07-19","0.936","0.028","0.762","0.211"
"2018-07-20","0.946","0.021","0.808","0.171"
"2018-07-21","0.902","0","0.68","0.32"
"2018-07-22","0.991","0","0.621","0.379"
"2018-07-23","0.988","0.01","0.722","0.268"
"2018-07-24","0.904","0","0.837","0.163"
"2018-07-25","0.967","0.055","0.669","0.276"
"2018-07-26","-0.511","0.085","0.881","0.034"
"2018-07-27","-0.778","0.141","0.783","0.076"
"2018-07-28","0.296","0.04","0.897","0.063"
"2018-07-29","0.983","0.025","0.564","0.411"
"2018-07-30","0.983","0","0.707","0.293"
"2018-07-31","0.977","0.01","0.769","0.221"
"2018-08-01","-0.052","0.063","0.877","0.06"
"2018-08-02","-0.528","0.135","0.781","0.084"
"2018-08-03","0.889","0.075","0.585","0.34"
"2018-08-04","0.929","0.043","0.784","0.174"
"2018-08-05","0.778","0","0.901","0.099"
"2018-08-06","0.957","0","0.844","0.156"
"2018-08-07","-0.128","0.115","0.764","0.121"
"2018-08-08","0.98","0","0.781","0.219"
"2018-08-09","0.862","0.035","0.843","0.122"
"2018-08-10","0.912","0.036","0.754","0.21"
"2018-08-11","0.956","0.038","0.724","0.238"
"2018-08-12","0.943","0.033","0.747","0.22"
"2018-08-13","0.226","0.046","0.898","0.056"
"2018-08-14","0.906","0.01","0.891","0.099"
"2018-08-15","0.904","0.025","0.773","0.201"
"2018-08-16","-0.202","0.1","0.821","0.078"
"2018-08-17","0.13","0.089","0.818","0.093"
"2018-08-18","0.859","0.127","0.581","0.292"
"2018-08-19","0.226","0.052","0.87","0.078"
"2018-08-20","0.936","0","0.819","0.181"
"2018-08-21","0.936","0.031","0.791","0.178"
"2018-08-22","-0.382","0.042","0.958","0"
"2018-08-23","0.967","0","0.768","0.232"
"2018-08-24","0.984","0.042","0.757","0.202"
"2018-08-25","0.875","0","0.9","0.1"
"2018-08-26","0.946","0","0.815","0.185"
"2018-08-27","0.866","0.022","0.862","0.116"
"2018-08-28","0.948","0.027","0.736","0.238"
"2018-08-29","0.958","0.073","0.594","0.333"
"2018-08-30","0.97","0.055","0.626","0.319"
"2018-08-31","-0.318","0.069","0.886","0.045"
"2018-09-01","0.996","0.016","0.448","0.536"
"2018-09-02","0.991","0.01","0.598","0.392"
"2018-09-03","0.869","0.028","0.843","0.129"
"2018-09-04","0.981","0.026","0.658","0.316"
"2018-09-05","0.202","0.082","0.827","0.091"
"2018-09-06","0.128","0.028","0.939","0.034"
"2018-09-07","-0.128","0.084","0.841","0.075"
"2018-09-08","0.942","0.027","0.782","0.191"
"2018-09-09","0.572","0.025","0.911","0.064"
"2018-09-10","0.979","0.071","0.645","0.284"
"2018-09-11","0.44","0.066","0.835","0.099"
"2018-09-12","-0.939","0.127","0.873","0"
"2018-09-13","0.976","0","0.668","0.332"
"2018-09-14","0.984","0.033","0.721","0.245"
"2018-09-15","0.869","0.054","0.811","0.134"
"2018-09-16","0.987","0.02","0.765","0.215"
"2018-09-17","0.912","0","0.755","0.245"
"2018-09-18","0.9","0","0.87","0.13"
"2018-09-19","0.927","0.038","0.749","0.213"
"2018-09-20","0.983","0.035","0.7","0.264"
"2018-09-21","0.962","0.01","0.804","0.186"
"2018-09-22","0.946","0.064","0.721","0.214"
"2018-09-23","0.949","0","0.777","0.223"
"2018-09-24","0.923","0","0.816","0.184"
"2018-09-25","0.949","0.091","0.698","0.21"
"2018-09-26","0.969","0.071","0.676","0.253"
"2018-09-27","0.649","0.068","0.795","0.137"
"2018-09-28","0.941","0.04","0.775","0.185"
"2018-09-29","0.958","0","0.844","0.156"
"2018-09-30","0.772","0.04","0.825","0.135"
"2018-10-01","0.929","0","0.708","0.292"
